0.041,0.041,0.04,0,0,0,0,0,0,0
0.047,0.05,0.046,0.045,0.062,0.059,0.06,0.058,0.06,0.059
0.049,0.053,0.049,0.047,0.063,0.063,0.063,0.065,0.062,0.056
0.046,0.051,0.048,0.048,0.064,0.068,0.063,0.061,0.058,0.055
